,playlist,name,artist,albumreleasedate,genres,energy,danceability,loudness,speechiness,acousticness,liveness,trackpopularity
735,Reggaetón,CHORRITO PA LAS ANIMAS,Feid,2022-12-02,colombian pop,0.831,0.743,-4.042,0.0584,0.114,0.35,91
736,Reggaetón,Monumento,Andy Rivera,2021-10-06,reggaeton,0.742,0.706,-3.19,0.351,0.471,0.0976,62
737,Reggaetón,Hasta Que Dios Diga,Anuel AA,2020-05-29,reggaeton,0.765,0.691,-4.727,0.111,0.464,0.203,85
738,Reggaetón,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi,2022-05-20,reggaeton,0.845,0.795,-3.809,0.135,0.105,0.172,82
739,Reggaetón,Yandel 150,Yandel,2023-01-13,latin hip hop,0.729,0.783,-3.549,0.0691,0.0492,0.1,90
740,Reggaetón,PUNTO G,Quevedo,2022-11-04,rap canario,0.761,0.751,-4.113,0.15,0.251,0.0991,81
741,Reggaetón,Ziploc (Blessd Version),Blessd,2022-11-03,reggaeton,0.606,0.756,-6.095,0.298,0.71,0.127,66
742,Reggaetón,Gato de Noche,Ñengo Flow,2022-12-22,reggaeton,0.662,0.892,-3.894,0.162,0.169,0.363,88
743,Reggaetón,Classy 101,Feid,2023-03-31,colombian pop,0.658,0.859,-4.79,0.159,0.145,0.12,96
744,Reggaetón,Coco Chanel,Eladio Carrion,2023-03-17,trap boricua,0.764,0.683,-5.995,0.0441,0.0427,0.0963,93
745,Reggaetón,REMIX EXCLUSIVO,Feid,2023-03-17,colombian pop,0.557,0.651,-5.466,0.204,0.0358,0.154,86
746,Reggaetón,WHERE SHE GOES,Bad Bunny,2023-05-18,reggaeton,0.8,0.652,-4.019,0.0614,0.143,0.112,99
747,Despecho,Amigos Con Derechos,Jhon Alex Castaño,2015-06-04,musica popular colombiana,0.568,0.655,-4.493,0.0358,0.284,0.205,0
748,Despecho,Dos Razones,Jhon Alex Castaño,2013,musica popular colombiana,0.548,0.845,-5.874,0.0376,0.399,0.0823,0
749,Despecho,Amanecí Contento,Jhon Alex Castaño,2013,musica popular colombiana,0.492,0.757,-4.806,0.0371,0.507,0.0978,0
750,Despecho,De Bar En Bar,Jhon Alex Castaño,2015-05-17,musica popular colombiana,0.414,0.891,-9.702,0.0506,0.204,0.129,0
751,Despecho,Déjala Que Se Vaya,Jhon Alex Castaño,2015-05-17,musica popular colombiana,0.486,0.864,-8.915,0.0513,0.426,0.0326,0
752,Despecho,Que Me Traigan Licor,Jhon Alex Castaño,2015-05-17,musica popular colombiana,0.609,0.77,-4.491,0.05,0.231,0.0358,0
753,Despecho,Si Supieras,Luisito Muñoz,2019-10-15,musica popular colombiana,0.489,0.594,-8.316,0.0595,0.512,0.0549,0
754,Despecho,Mujeres Divinas,Vicente Fernández,1987-01-25,mariachi,0.302,0.528,-9.577,0.0674,0.552,0.269,74
755,Despecho,Por Tu Maldito Amor,Vicente Fernández,1990-04-17,mariachi,0.286,0.551,-7.398,0.0332,0.752,0.27,68
